id,host_id,host_name,room_type,price,minimum_nights
421,3186498,Claes,Entire home/apt,804,4
422,3193648,Solveig,Entire home/apt,601,14
423,3198983,Linda,Entire home/apt,2301,3
424,3206224,Ingunn,Entire home/apt,1996,2
425,3206675,Sjur,Entire home/apt,702,1
426,3214226,Tine,Entire home/apt,719,3
427,3231361,Lena-Christin,Entire home/apt,1396,3
428,3231534,Astrid,Private room,550,2
429,3231534,Astrid,Private room,550,2
430,3233609,JOakim,Entire home/apt,1937,7
431,3234795,Sheri,Entire home/apt,1954,5
432,3236222,Kristoffer,Entire home/apt,888,3
433,3268105,Kristine,Entire home/apt,897,4
434,3284665,Aadne,Entire home/apt,651,3
435,3302061,Sara Hardy,Entire home/apt,1252,4
436,3303871,Ragnhild,Entire home/apt,888,3
437,3303871,Ragnhild,Shared room,211,2
438,3303871,Ragnhild,Entire home/apt,753,3
439,3307307,Anna,Entire home/apt,702,2
440,3329253,Guro,Entire home/apt,1100,3
441,3342700,Line,Entire home/apt,888,4
442,3342733,Ida,Entire home/apt,668,3
443,3350528,Samarth,Entire home/apt,491,2
444,3352945,Marianne,Entire home/apt,727,2
445,3352945,Marianne,Entire home/apt,2504,3
446,3358580,Hanne Pernille,Entire home/apt,702,1
447,3370747,Linda,Entire home/apt,897,1
448,3402008,Elisabeth,Entire home/apt,2504,5
449,3413468,Joï¿½,Entire home/apt,1150,3
450,3418723,Dolores,Entire home/apt,998,7
451,3434210,Trude Schjelderup,Entire home/apt,2597,5
452,3448285,Kajsa,Entire home/apt,448,3
453,3460463,Thomas,Entire home/apt,804,3
454,3460612,Simon,Entire home/apt,1700,4
455,3460743,Christian,Private room,491,2
456,3477407,Pernille,Entire home/apt,516,7
457,3477569,Tanya,Entire home/apt,702,1
458,3480367,Karen,Entire home/apt,753,4
459,3480367,Karen,Private room,296,2
460,3484127,Agnete,Entire home/apt,499,4
461,3487023,Alejandro,Private room,347,1
462,3487023,Alejandro,Entire home/apt,846,1
463,3489991,Anna,Entire home/apt,499,1
464,3498297,Paul,Entire home/apt,1802,4
465,3505626,Sarah,Entire home/apt,804,2
466,3509762,Bjï¿½ï¿½ï¿½ï¿½,Entire home/apt,804,3
467,3512619,Marita H,Private room,347,2
468,3513617,Magnus,Entire home/apt,584,3
469,3516606,Vedrana,Entire home/apt,550,5
470,3523705,Monica,Private room,4347,68
471,3523705,Monica,Entire home/apt,4829,68
472,3524269,Trond,Entire home/apt,626,5
473,3537862,Nazanin,Private room,558,2
474,3537862,Nazanin,Entire home/apt,998,3
475,3540405,Magnus,Entire home/apt,753,2
476,3541578,Moa Johanne,Entire home/apt,702,7
477,3555375,Silje,Private room,448,1
478,3564888,Kari,Entire home/apt,1996,2
479,3564888,Kari,Private room,499,1
480,3566844,Glenn,Entire home/apt,702,3
481,3573297,Dagny,Entire home/apt,854,3
482,3578245,Hilde,Private room,347,1
483,3580008,Linn,Entire home/apt,1049,2
484,3585546,Kine,Entire home/apt,448,2
485,3585903,Marthe,Entire home/apt,702,4
486,3587856,Mia,Private room,347,3
487,3593465,Sigurd,Private room,398,3
488,3600812,Johanne,Entire home/apt,448,1
489,3604093,Erika,Entire home/apt,1201,2
490,3611387,Kaja,Entire home/apt,804,2
491,3634693,Josefine,Entire home/apt,296,5
492,3639651,Eirik,Entire home/apt,677,10
493,3647126,Raul,Private room,1497,3
494,3647126,Raul,Entire home/apt,2901,2
495,3658980,Berit,Entire home/apt,753,1
496,3675794,Malin,Private room,398,3
497,3695167,Joachim Norum,Entire home/apt,702,3
498,3698997,Oda,Entire home/apt,897,2
499,3703206,Mari,Entire home/apt,702,2
500,3706940,Per Jarle & Marcela,Entire home/apt,956,5
501,3715155,Henrik,Entire home/apt,795,3
502,3721616,Mona,Entire home/apt,1286,7
503,3723901,Marianne,Private room,499,2
504,3726408,Sofie,Entire home/apt,601,1
505,3729073,Marius,Entire home/apt,584,2
506,3732820,Anna,Entire home/apt,584,1
507,3735742,Vebjï¿½ï,Entire home/apt,947,5
508,3739591,Johannes,Entire home/apt,651,3
509,3739591,Johannes,Entire home/apt,2402,3
510,3739591,Johannes,Entire home/apt,677,3
511,3739591,Johannes,Entire home/apt,778,3
512,3739591,Johannes,Entire home/apt,1015,3
513,3757324,ýýyvind,Entire home/apt,499,3
514,3769871,Audun,Entire home/apt,1252,10
515,3769871,Audun,Private room,753,5
516,3788391,Patrick,Entire home/apt,601,3
517,3802268,Tor Inge,Entire home/apt,499,5
518,3802957,Thor,Entire home/apt,753,2
519,3809517,Linn,Entire home/apt,846,7
520,3811103,Ann-Katrin,Entire home/apt,820,3
521,3820458,Thomas,Entire home/apt,753,2
522,3827288,Marion,Entire home/apt,651,1
523,3845175,Berit,Entire home/apt,871,2
524,3854740,Torbjï¿½ï,Entire home/apt,719,30
525,3869297,Booking,Private room,398,1
526,3869297,Booking,Entire home/apt,398,30
527,3869704,Heidi Toini,Entire home/apt,1100,30
528,3878562,Veronica,Private room,448,1
529,3878562,Veronica,Private room,584,2
530,3879221,Myna,Private room,465,1
531,3879221,Myna,Private room,507,1
532,3910432,ýýystein,Entire home/apt,897,7
533,3913263,Tore,Entire home/apt,727,2
534,3914231,Even,Entire home/apt,601,7
535,3926651,Jessica,Entire home/apt,964,1
536,3926712,Axel Ferdinand,Entire home/apt,753,3
537,3935697,Torbjï¿½ï,Entire home/apt,846,2
538,3938850,Hanne,Entire home/apt,1006,3
539,3957524,Alf,Entire home/apt,888,3
540,3962253,Tomas,Entire home/apt,761,3
541,3976182,Henrik,Entire home/apt,947,2
542,3978663,Ruth,Entire home/apt,846,3
543,3980646,Eivind Rose,Entire home/apt,846,2
544,3989300,Atilio + Bea,Private room,381,3
545,3991679,Anders,Entire home/apt,753,7
546,3991874,Sunnie,Entire home/apt,364,2
547,3995720,Christer,Shared room,550,2
548,3995720,Christer,Entire home/apt,398,3
549,3996622,Gung,Private room,499,2
550,4003392,Hï¿½ï¿,Entire home/apt,753,2
551,4009369,Francisco,Entire home/apt,804,2
552,4011871,Mona Johanne,Private room,406,1
553,4017463,Tiril,Entire home/apt,1269,1
554,4020975,Guro,Entire home/apt,694,2
555,4023052,Lisa,Entire home/apt,601,5
556,4033224,Merete,Entire home/apt,947,2
557,4050830,Jara Benedicte,Entire home/apt,753,3
558,4053428,Tish,Entire home/apt,592,7
559,4058050,Johanne,Private room,372,7
560,4084079,Bjï¿½ï¿½,Entire home/apt,482,1
561,4093223,Ann-Helen,Entire home/apt,998,1
562,4096681,Natasha,Entire home/apt,939,2
563,4096681,Natasha,Private room,491,2
564,4102460,Aurora,Entire home/apt,1201,5
565,4129063,Axel,Entire home/apt,524,1
566,4132728,Sandra & Carlos,Entire home/apt,1294,3
567,4132734,Birgit Marie,Entire home/apt,1353,3
568,4132734,Birgit Marie,Entire home/apt,947,3
569,4151842,Solveig Sophia,Entire home/apt,804,3
570,4158744,Turid Og Erling,Entire home/apt,702,2
571,4198254,Charlotte,Entire home/apt,414,4
572,4203424,Janni,Entire home/apt,761,2
573,4206324,Eirik,Private room,389,5
574,4214540,Svetlana,Entire home/apt,804,4
575,4252019,Terje,Entire home/apt,499,3
576,4260542,Vanessa,Entire home/apt,499,2
577,4268035,Kari,Entire home/apt,998,2
578,4276010,Pï¿½,Entire home/apt,660,1
579,4282819,Steinar,Entire home/apt,2199,5
580,4286678,Carl Og Teresa,Entire home/apt,1599,2
581,4323997,Jak,Entire home/apt,846,2
582,4324756,Ingrid,Entire home/apt,702,2
583,4326175,Ole Christian,Private room,389,3
584,4327688,Tonje,Entire home/apt,601,1
585,4327688,Tonje,Private room,389,1
586,4339807,Kristian (-TK-),Private room,753,1
587,4339807,Kristian (-TK-),Entire home/apt,2698,1
588,4339807,Kristian (-TK-),Private room,1201,1
589,4339807,Kristian (-TK-),Private room,1201,1
590,4363107,Julie,Entire home/apt,499,4
591,4370667,Henrik,Entire home/apt,795,3
592,4391761,Goran,Entire home/apt,804,3
593,4401804,Per,Entire home/apt,1903,3
594,4423951,Torbjï¿½ï,Private room,804,2
595,4428499,David,Private room,347,2
596,4429412,Martin,Entire home/apt,1497,1
